,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
263,350.0,2.0000000000000018,0.33385086576930445,0.3866130383764114,1.0,0.997,0.9995
264,350.0,2.5,0.4207586395851856,0.4769136465537553,1.0,1.0,1.0
265,350.0,2.9999999999999982,0.5084785420758823,0.5694218716455973,1.0,1.0,1.0
266,350.0,3.5000000000000013,0.593644549679594,0.6530929502498392,1.0,1.0,1.0
267,350.0,3.9999999999999987,0.6836020911698888,0.7409911599485208,1.0,1.0,1.0
268,350.0,5.0,0.8573311673171264,0.9061962765741384,1.0,1.0,1.0
269,350.0,6.000000000000001,1.0356701608349683,1.0657856926215532,1.0,1.0,1.0
270,350.0,7.999999999999997,1.3932956132107357,1.361238434064065,1.0,1.0,1.0
271,350.0,10.0,1.748880207949517,1.6239512611679379,1.0,1.0,1.0
272,350.0,12.000000000000002,2.0891783020566805,1.8608435065128686,1.0,1.0,1.0
273,400.0,0.0,0.05341466786734229,0.053079142095858414,0.019,0.0235,0.0165
274,400.0,0.4999999999999982,0.09067164283882827,0.10309337839469102,0.37,0.2115,0.2795
275,400.0,1.0000000000000009,0.1643871030471932,0.19403647983219324,0.8955,0.64,0.7785
276,400.0,1.4999999999999991,0.25044587640232147,0.29270674449726947,0.9995,0.9525,0.9835
277,400.0,2.0000000000000018,0.33532765280068266,0.38531235588360163,1.0,0.9995,1.0
278,400.0,2.5,0.419350116873982,0.4765531239078351,1.0,1.0,1.0
279,400.0,2.9999999999999982,0.5057226987369386,0.5660978298937412,1.0,1.0,1.0
280,400.0,3.5000000000000013,0.5948183617703486,0.6545214800549796,1.0,1.0,1.0
281,400.0,3.9999999999999987,0.6826768307094566,0.7403332988832703,1.0,1.0,1.0
282,400.0,5.0,0.8571871414985167,0.9070209968802561,1.0,1.0,1.0
283,400.0,6.000000000000001,1.03732724218214,1.065760729292481,1.0,1.0,1.0
284,400.0,7.999999999999997,1.3912205753235332,1.3610982888982006,1.0,1.0,1.0
285,400.0,10.0,1.7434219109989288,1.623110927734673,1.0,1.0,1.0
286,400.0,12.000000000000002,2.089268427613605,1.8552050158048385,1.0,1.0,1.0
